Top apps from iTunes,App ranking by Google playstore,App ranking from iTunes store,Average ranking
Pokemon,1,1,1
Whatsapp,3,4,3.5
Messager,2,7,4.5
Snapchat,5,6,5.5
Facebook,4,11,7.5
Instagram,8,8,8
Sliter,6,15,10.5
Talking tom,12,14,13
Spotify music,11,16,13.5
Shpock boot,14,20,17
Color Switch,15,22,18.5
The national lottery,16,27,21.5
Farm Heroes,9,40,24.5
Uber,17,34,25.5
Disney Emoji,24,30,27
ebay,19,35,27
musical.ly,31,24,27.5
Skype,25,32,28.5
Amazon,18,39,28.5
Netflix,23,37,30
Twitter,30,33,31.5
The higher lower,58,12,35
Pinterest,26,46,36
CSR racing,50,28,39
TripAdvisor,44,41,42.5
Layout from Instagram,63,26,44.5
Piano tiles,41,49,45
Mobile Strike,51,43,47
Subway surfers,45,50,47.5
Youtube,110,9,59.5
Boomerang,123,25,74
Episode,184,47,115.5
Dumb ways to die,201,45,123
,,,
,,,
Google maps,,,
Gmail,,,
Google,,,