company,domains,founded,acquired in,type,jurisdiction,parent,customers,capital,size
google,google.com google.com googleapis.com 1e100.com ssl.google-analytics.com,2002,,analytics profiling advertising,us,,,,
Facebook,graph.facebook.com,2004,,marketresearch profiling advertising,us,,,,
Twitter,,2006,,analytics profiling advertising,us,,,,
mopub,ads.mopub.com,2010,2013,mobile advertising,us,twitter,,,
Crashlytics,e.crashlytics.com,2011,2013,analytics mobile,us,twitter,,,
AOL,,1983,,analytics profiling advertising marketresearch,us,,,,
Criteo,,2005,,analytics advertising,fr,,,,
DataPop,,2008,2015,searchengine advertising,us,Criteo,,,
adquantic,,2010,2014,semanticsearch advertising,fr,Criteo,,,
Tedemis,,2004,2014,mobile advertising,fr,Criteo,,,
doubleclick,doubleclick.com,1995,2008,advertising,us,google,,,
scorecardresearch,b.scorecardresearch.com,,,analytics profiling marketresearch,us,comScore,,,
comscore,,1999,,analytics profiling marketresearch,us,1.1m,,,
microsoft,www.msftncsi.com,1974,,software,us,,,,
pinterest,api.pinterest.com media-cache-ak0.pinimg.com trk.pinterest.com,2009,,social,us,,,,
localytics,analytics.localytics.com profile.localytics.com,2009,,mobile analytics,uk,,,,
flurry,data.flurry.com,2005,2014,advertising mobile analytics,us,yahoo,,,
movile,api.kwsdk.io,1998,,telecom mobile,us,,,,
apsalar,e.apsalar.com,2010,,adverting analytics mobile,us,,,,
lifestreet,cdn.lfstmedia.com cdn.revjet.com md-nj.lfstmedia.com,2006,,advertising mobile,us,facebook,,,51-200
shopping international holding,di3-1.shoppingshadow.com,2005,,data processing,us,ebay,,,4
ebay,thumbs1.ebaystatic.com,1995,,searchengine ecommerce,us,,,,
youtube,i.ytimg.com,2005,2006,music video,us,google,,,
superawesome,ads.superawesome.tv,2013,,marketing kids,uk,,,,11-50
theplatform,feed.theplatform.com link.theplatform.com,2000,2006,video,us,comcast,,101-250
comcast,,1963,,media,us,,,,
akamai,pmd441055tn-a.akamaihd.net,1998,,video cloudcomputing,us,,,10000
apple,icloud.com apple.com apple.co.uk configuration.apple.com mesu.apple.com cl2.apple.com iphone-ld.apple.com,i.ytimg.com,,,,,,,
bbc,bbci.co.uk bbc.co.uk childrens-data.api.bbci.co.uk a.files.bbci.co.uk,,,,,,,,